12FACTOR-01-CODEBASE|2|Maintain one codebase per app in version control; deploy it to many environments without branching.
12FACTOR-02-DEPENDENCIES|2|Explicitly declare and isolate all dependencies; never rely on implicit system-wide packages.
12FACTOR-03-CONFIG|2|Store all config in environment variables; never hardcode credentials or environment-specific values in code.
12FACTOR-04-BACKING-SERVICES|2|Treat all backing services as attached resources configurable via URL; swap them without code changes.
12FACTOR-05-BUILD-RELEASE-RUN|2|Strictly separate build, release, and run stages; every release must be immutable and uniquely identified.
12FACTOR-06-PROCESSES|2|Run stateless, share-nothing processes; store all persistent state in external backing services.
12FACTOR-07-PORT-BINDING|2|Export services by binding to a port using an embedded server; never rely on external application servers.
12FACTOR-08-CONCURRENCY|2|Scale out by running more stateless process instances; assign distinct workloads to distinct process types.
12FACTOR-09-DISPOSABILITY|2|Design processes to start quickly, shut down gracefully on SIGTERM, and survive sudden death safely.
12FACTOR-10-DEV-PROD-PARITY|2|Keep development, staging, and production environments as similar as possible to prevent environment-specific bugs.
12FACTOR-11-LOGS|2|Write all logs to stdout as an unbuffered event stream; let the platform handle routing and storage.
12FACTOR-12-ADMIN-PROCESSES|2|Run admin tasks as one-off processes using the same code, environment, and config as the running app.
A11Y-ALT-TEXT|2|Provide meaningful alt text for every informative image; use empty alt="" for decorative images.
A11Y-COLOR-CONTRAST|2|Ensure normal text meets 4.5:1 contrast ratio and large text meets 3:1 against its background.
A11Y-KEYBOARD-NAVIGATION|2|Ensure every interactive element is reachable, activatable, and escapable using keyboard alone.
A11Y-SEMANTIC-HTML|2|Use native HTML elements for their semantic meaning; never replace buttons and links with generic divs.
ARCH-ACTIVE-RECORD|2|Use Active Record only for simple CRUD domains where the data model and domain model are closely aligned.
ARCH-ANTI-CORRUPTION-LAYER|2|Introduce a translation layer at every external integration boundary to protect your domain model from leakage.
ARCH-API-GATEWAY|2|Route all external traffic through a single API gateway that enforces authentication, rate limiting, and routing.
ARCH-ARCHITECTURE-AS-CODE|1|Define the architecture model in version-controlled code so it stays in sync with the system it describes.
ARCH-BACKENDS-FOR-FRONTENDS|2|Create a dedicated backend service per client type; never build one general-purpose API for all clients.
ARCH-BULKHEAD|2|Isolate subsystem resources into separate pools so one failure cannot exhaust resources needed by others.
ARCH-CONWAYS-LAW|2|Align team structure with desired system architecture; design teams to produce the communication boundaries you want.
ARCH-DATA-MAPPER|2|Use a dedicated mapper to transfer data between domain objects and the database, keeping both fully independent.
ARCH-DATABASE-PER-SERVICE|2|Each microservice must own its data exclusively; no other service may bypass its API to access its database.
ARCH-DECISION-RECORDS|1|Capture every significant architectural decision as an ADR recording context, decision, and consequences.
ARCH-DESIGN-FOR-FAILURE|2|Assume every component will fail; design for graceful degradation rather than cascading outage.
ARCH-HEXAGONAL|2|Keep the application core free of infrastructure dependencies by exposing ports implemented by swappable adapters.
ARCH-LAYERED|2|Organize code into layers where each layer depends only on the layer directly below it; never skip layers.
ARCH-MICROKERNEL|2|Separate a minimal stable core from plugin modules that extend it only through the published plugin API.
ARCH-MVC|1|Separate domain state, rendering, and user-input handling into Model, View, and Controller with no cross-responsibility.
ARCH-OBSERVABILITY-BY-DESIGN|1|Design every system to expose structured logs, metrics, and distributed traces from the outset, not as an afterthought.
ARCH-REPLACEABILITY|2|Design every component to be replaceable without requiring changes to its neighbors; prefer explicit versioned interfaces.
ARCH-SAGA|2|Coordinate distributed transactions as a sequence of local transactions with compensating steps on failure.
ARCH-SERVICE-BOUNDARIES|2|Own data exclusively within each service and communicate across boundaries only through versioned explicit contracts.
ARCH-SERVICE-LAYER|2|Define application use cases in a service layer that coordinates domain objects and enforces transactional boundaries.
ARCH-SIDECAR|2|Deploy cross-cutting operational concerns as independent co-located sidecar processes, not as in-process libraries.
ARCH-STATELESS-FIRST|2|Design service instances to hold no state beyond a single request; store all session state in an external store.
ARCH-STRANGLER-FIG|2|Incrementally replace legacy systems by routing traffic to a new implementation piece by piece; never big-bang rewrite.
ARCH-TRANSACTION-SCRIPT|2|Use Transaction Script only for simple low-complexity domains; avoid it as business logic grows and duplicates.
ARCH-UNIT-OF-WORK|2|Track all domain changes in a Unit of Work and commit them in one coordinated database transaction at completion.
CD-BLUE-GREEN-DEPLOYMENT|2|Deploy to an idle environment first, run smoke tests, then switch traffic; keep the previous environment for instant rollback.
CD-BUILD-ONCE-DEPLOY-MANY|1|Build the artifact once and promote that same immutable artifact through every environment.
CD-CANARY-RELEASE|2|Route a small fraction of traffic to the new version and roll back automatically if metrics degrade.
CD-DEPLOY-ON-EVERY-COMMIT|2|Automate the pipeline so any green commit can be deployed to production without manual intervention.
CD-DEPLOYMENT-SMOKE-TESTS|2|Run automated smoke tests after every deployment to verify core functionality before routing real traffic.
CD-FAST-FEEDBACK-LOOPS|1|Structure the pipeline to return a pass or fail signal to the developer within ten minutes.
CD-FEATURE-FLAGS|2|Decouple deployment from release by hiding incomplete features behind runtime flags, not branches.
CD-GITOPS|2|Declare all infrastructure state in git and let an automated operator continuously reconcile the live environment.
CD-KEEP-BUILD-GREEN|1|Treat a failing main branch build as the team's highest priority; nothing ships until it passes.
CD-PIPELINE-AS-CODE|1|Commit every CI/CD pipeline step to version control and review it like application code.
CD-SEMANTIC-VERSIONING|1|Use MAJOR.MINOR.PATCH version numbers to communicate the scope and safety of changes to consumers.
CD-TRUNK-BASED-DEVELOPMENT|1|Integrate to the main branch at least daily; use feature flags to hide incomplete work instead of branches.
CLEAN-ARCH-ARCHITECTURAL-BOUNDARIES|2|Draw explicit boundaries between components and enforce all cross-boundary communication through well-defined interfaces.
CLEAN-ARCH-DEPENDENCY-RULE|2|Source code dependencies must always point inward toward business rules, never outward toward frameworks or details.
CLEAN-ARCH-KEEP-OPTIONS-OPEN|2|Defer binding to specific frameworks and databases by keeping them behind interfaces as long as possible.
CLEAN-ARCH-SEPARATE-BUSINESS-RULES|2|Keep business logic in framework-free code that can be tested without starting a web server or database.
